Tweet,Sentiment,Sentiment_Expression
#الاردن_يتقدم. الحكومة الاردنية تعلن اطلاق مشروع المدينة الجديدة .. نتمى ان يكون التنفيذ على افضل ما يكون . https://t.co/7oatmRoykH,positive,explicit
دمقراطية ترامب في السعودية. سرقة الأموال. واسقاط طائرات واعتقالات واغتيالات الشركة المساهمة بن سلمان وأولاده وترامب يحكم السعودية,very_negative,explicit
سيبك من معادلات الرياضة والحاجات اللي ملهاش لزمة في حياتناممكن اعملكم معادلة تبين قد اي وجود حدفي حياتك بيحسن نفسيتك ويزود كفائتك بنسبة كام,positive,explicit
منرجع للمنتخب . حتى اصدقائي بالثانوي اللي كنت فكرهم رمادين او حتى شبيحة طلعوا بيكرهوا المنتخب و شمتانين .. لك هالكم واحد وعامل جمعور منين جي ؟,very_negative,explicit
شو حلو انو رفقاتي يباركولي ع أغانيك😍 كتير فخورة فيك الله يخليلي ياك❤ و الى المزيد من التألق و النجاح❤❤ @josephattieh https://t.co/0jxRou6Iu3,very_positive,explicit
@cnnarabic يارب اطفا نار الفتنة / انتبهوا ولا تعيدوا خطا الحرب العراقية الإيرانية /هذه سياسة كلما تظهر قوى في الم… https://t.co/CVnKwvbEdc,negative,explicit
"تقليد الآخرين لا يعني أنّك ستحصل على ما حصلوا عليه ، ربما يعجبك رزق غيرك فتحاول أن تكون مثله والله مخبئ لك الأجمل و… https://t.co/vDXdBIUVmd",positive,explicit
لماذا تصمت الكلمات في شفتيّ لما كنت القاك. لماذا تهرب النظرات من عيني لما كنت القاك. لماذا كل شيء في حياتي يمسى صورة من دون معنى حين اهواك,very_positive,explicit
#مقاطعه_اوبر_وكريم1 انتم تريدون و هم يريدون و الله فعال لما يريد اللجاء الى الله و قل يا رب و لن يخيب لك ضن بأمره ان شاء الله,negative,explicit
"@Bimawdou3ieh تحلّوا بالمسؤولية الوطنيّة! كفّوا عن اعطائكم الغطاء و الأعذار لأي عدوان خارجي او لبثّ جوّ من الفتن داخلية عبر ضيوف ""الفتنة"" ..",negative,explicit
@yara__CR7 والله الاثنين غالين على . لانو تقريبا اول نادين حبيتهم . حتي بس روح ع سعودي جبت تي شيرت الهلال 😂😂,positive,explicit
لم يتبقى لتنظيم داعش الارهابي الا مدينة صغيرة في أعالي نهر الفرات وتحريرها لا يستغرق الا ايام ولكن هناك الألف المقا… https://t.co/8zQYt64gCr,very_negative,explicit
"ولي العهد السعودي يتهم #ايران بشن ""عدوان مباشر"" ضد بلاده. https://t.co/Am5vyTJkIA. #السعودية",negative,explicit
"@ii_kk9 امي لاأراني الله مكروها فيك ، فلتتوقف أنفاسي قبل أنفاسك ، دونك لاقيمه لي ولاحياة .... اطال الله في عمرك ..",positive,explicit
#اللبناني بس يكون عليه دعوى بالمحكمة. بقول: نحن لنا ملء الثقة بالقضاء. وبس يطلع الحكم لغير صالحه. بقول: نحن لنا ملء الثقة أن القضاء مسيس ومسيّر,negative,implicit
*اليابان* . _جرحت الهلال_ . بـ ﴿ نيشيمورا ﴾ . _حرمت الهلال_ من . ﴿ ادواردو ﴾,negative,explicit
عبد القادر طارق مهاجم الشرطة لISN : . لا خلاف مع البرازيلي باكيتا ورفضت جميع العروض المحلية والخارجية حبا بالقيثارة… https://t.co/e1hrHoa8St,neutral,none
"مركز أسرى فلسطين للدراسات: تدهور خطير طرأ على صحة الأسير فادي حامد رجب صرصور ""23 عاما"" من بلدة العيزية في #القدس ال… https://t.co/juN4Lrclzu",negative,explicit
قتلها بهدف السرقة فكانت غلّته 20 ألف ليرة.. منفّذ #جريمة_المعاملتين في قبضة #فرع_المعلومات https://t.co/kjcZWp45vD https://t.co/VN1F7Uza3E,very_negative,explicit
زوار لقاء الاربعاء النيابي: معلومات عن امكان قيام الحريري بزيارة سريعة للبنان يقدم فيها استقالته بشكل رسمي خلال الس… https://t.co/9rl30ySkvH,neutral,none
مدرب منتخبنا باسم قاسم يستدعي مدافع نادي الزوراء كرار محمد لصفوف المنتخب . https://t.co/Py8R0v4Yws,neutral,none
"@ صباح الأمْل بِالله♥ ، و الطمأنينه فِي ظله و الثِقَة بما عنده ، والرضى بما گتبه ~ اللهُم أفتح لنا أبواب الخير في ه… https://t.co/Sszjt35bED",very_positive,explicit
#العبادي. اعتماد افضل طريقة لتوزيع الموازانة بنسب عادلة لكل الشعب عن طريق عدد سكان كل محافظة ونسبة 17% ليست قانون ثابت وقابلة للتغيير,neutral,none
طلعو الشباب على سعودية السياسيين وهلاء إجى دور رجال الدين ...زمن الاستدعاء ويقولون بدنا لبنان سيد حرة ....أنا لبناني بدّي يكون فيه السيد.,very_negative,explicit
@ajmurgent الكلام مع امريكا و اسرائيل اما بني سعود تحت احتلالهم لا حول لهم و لا قوة بس تنفيذ اوامر,negative,explicit
@sh0uqa2 @v_i_b_2 #كاس_العالم_بيوحشنا_٢. القوة القوة لا بارك الله بضعف هذا جمهور خط النار لا تورط نفسك معهم . اتمنى ي… https://t.co/Qjuyf9vztz,positive,explicit
@karamar3 @yous0f @Sl6___ @AlShahenoo هههههه تذبحني والله خفت .. ي اخي رايي ان عكايشي كويس والعام قدم مستوى لكن هالسنه الكل سيء ..,negative,explicit
سيذكرني قومي اذا جد جدهم وفي. الليلة الظلماء يفتقد البدر . والله نفتقدك يا وصفي في هذه الصروف الصعبه https://t.co/IWHzVtD4bj,negative,explicit
"اسنسيو خرافي بكلشي اليوم . ما عنده قتالية الدون, بس كثير بيحاول يقدم 😻",very_positive,explicit
@mo6nsh_911 @ssqksa @Abo_z1 كفو والله يبارك فيك اخي #مطنش وكثر الله من امثالك وجميعنا ابناء وبنات الوطن يد وحده بخد… https://t.co/zCaOA6ZiqC,positive,explicit
يمكن إعتبار أن أول العواصف المنتظرة لفصل الشتاء كانت عاصفة سياسية غير مسبوقة بالشكل والمضمون لما تحمل من غموض عسى ا… https://t.co/1SsoAuIvFH,negative,explicit
"مسنّ يقول:. عندما كانت زوجتي تناديني لأقرأ لها بعض الكلمات ، أوهمها أنني لا استطيع لكي لا تشعر بأنها كبرت وحدها. . هك… https://t.co/VFN2MGcPSr",very_positive,explicit
"يارب لا تقطع صوتها من البيت واعطها العمر الطويل، يا من بيده ملكوت السماوات والأرض احرس امي فهي حياتي وما ملكت ..",very_positive,explicit
رَبِ لا تكسر لي قلباً و لا تُصَعِب عليَّ أمراً و لا تحركني من تعلّقت بهم الروح و احفظ لي عائلتي و أحبتي و من أراد الخير لي 💙,very_positive,explicit
"مشروع لدعم #الخبز في مدينة #دوما بـ #الغوطة_الشرقية يقدم 5 آلاف ربطة #خبز يوميا في ظل #الحصار الذي يفرضه #الأسد ، ع… https://t.co/wHI4d9AbNa",positive,explicit
الحياة أجمل من حزن و أصدق من خيبة و أعظم من غدر و أكبر من كذبة. فقط. أنظر لها بـ القلب الذي يرى الله. و ثق به حتى إن ك… https://t.co/rqSfI55YCm,positive,explicit
"- لستُ وحدي ،. جالسٌ بجانبي وجعي ، وتلك الدموع التي تحتضن عيناي ، و لي قلبٌ يتألم و يبكي ؛. أنا لستُ وحدي ، فأنا معي .. !!",very_negative,explicit
الطراونه يدعو ربط الضريبة بالخدمات وتوفير فرص عمل ..... يا شيخ النواب مشكلتنا الكم الهائل من الموظفين الي ما الهم شغل وبيصرف عليهم الشعب,very_negative,explicit
"في طبع سيء جدا انا بكرهو والحمدلله مش موجود عندي رغم انه ظاهرة عالمية، انت بيكون معك الغرض، بس مش محتاجه، في حين شخ… https://t.co/EUdInPKI6J",very_negative,explicit
ولأنك لا تدري بأي عمل قد تدخل الجنة اكتب ' دعاء - حكمه - نصيحه - آية ' . لا تدري لربما يهتدي احدهم او تزرع ابتسامة او تسعد قلب..,very_positive,explicit
تحية إلى كل إنسان ولد و يعيش في العالم العربي و تمكن من الاحتفاظ بقدرته على التفكير المستقل والارتقاء فوق تخلف مجتمعه.. لك مني كامل الاحترام,positive,explicit
"- لو كان (نصف) مزيج بين الظاهرة وزيدان .. لإحتفلنا بالهدف قبل ان يستلم الكرة ، ولكن الغباء يلعب دور ! https://t.co/jrTPJJjs4h",negative,explicit
طربيه: تلقينا تأكيدات من الأميركيين أن القطاع المصرفي غير مستهدف بالعقوبات على حزب الله طالما هو يتقيد بالاجراءات الدولية للعمل المصرفي,neutral,none
"تنبيه : حملة حضر لحسابات السناب الشات اللي تستخدم تطبيقات الطرف الثالث مثل سناب بلس ، و سناب عثمان نصيحه ابتعدو عن… https://t.co/ZMOXmY9LQ9",negative,explicit
أربعينية الإمام الحسين عليه السلام ؟ مسيرة إصلاح الأمة لخدمة المبادئ الأساسية لقيم السماء في الأرض ولكل الإنسانية ؟ خطها أبا الاحرار ؟,positive,explicit
الشيخ #ياسر_عودة 👏 . لما تسمع كلامه وكيف ينتقد وينور السنة والشيعة . تحس انو التنوير في طريقه لا محال في ذلك 💕,positive,explicit
المجلس السياسي الاعلى في اليمن: المطارات والموانئ والمنافذ المهمة لقوى العدوان ستكون هدفا مباشرا,neutral,none
الإعلامي نديم قطيش يعلن أن شبكة الإتصالات الخاصة بالرئيس #الحريري تعرضت للخرق مرات عدة والأجهزة الأمنية قالت له إن ثمة شيئاً يحاك ضده,negative,explicit
#مجزرة_سوق_علاف_بسحار ان العالم اعمى أبكم أطرش لا يسمع ما لكم الا الله وأنفسكم اضربوهم أحرقوا. نفطهم لا ترحم احد يأتي العالم أليكم راكع,very_negative,explicit
السلام عليكم. تحديث جديد لنظام IOS يحمل الرقم 11.1.1 وفيه تم حل مشكلة التصحيح التلقائي وكذلك حل مشكلة يا سيري,positive,explicit
"اللهم غفر لنا ذنوباً حالت بيننا وبين ذكرك ، واعفوا عن تقصيرنا فى طاعتك وشكرك ، وأدم علينا لزوم الطريق إليك ، وهب لنا نوراً نهتدي به إليك .",neutral,none
عندما تضع امامك حلم وتواجه بعض العقبات للوصول الي هذا الحلم وتمضي السنوات الاربع حتي تحقق حلمك سوف تفرح وتستلم وثيق… https://t.co/vdw3zPN52B,very_positive,explicit
كل اللي سويته اليوم اني ذاكرت موضوع واحد من مواضيع hematology وقررت اخذ بريك باقي اليوم . *ماشاءالله على قوة العين والبجاحة*,negative,explicit
@GundiOmer @WahidBarzane 6- برامج واجندات لسب جميع صحابة رسول الله صل الله عليه وسلم 7- تدمير منطقة الشرق الاوسط و… https://t.co/Mey9HB1979,negative,explicit
"بعد تهديد #إيران بالإنسحاب من بطولة دوري أبطال آسيا لكرة القدم، الإتحاد الآسيوي يلغي قانون الملاعب المحايدة .. القا… https://t.co/6AGwnGN3zg",neutral,none
لقد مات عمر ومات صلاح بل مات #الأسلام في قلوب خوارة مريضة جبانة .. لانملك إلا دموعاً وعذراً ودعاء . رحماك ربي . https://t.co/tI91mYGxQZ,negative,explicit
مفتاح النجاح وسلاحك في الحياة هو :. انا جايي من طرف فلان . اما قصة شهادة ما شهادة . حاكيني عالخاص لقلك شو بتعمل فيها,very_negative,explicit
أتقدم بأحر التعازي في وفاة الأمير منصور بن مقرن ومرافقيه سائلا الله أن يتغمدهم برحمته وأن يلهم ذويهم الصبر والسلوان إنا لله وإنا إليه راجعون,very_negative,explicit
تقام عصر اليوم على ملعب #نادي_ضمك مباراة مهمّة جداً جداً بالنسبة للنادي وإدارتة وجمهورهـ الكريم . الفوز ولاشي غير ا… https://t.co/ougMBGzZiN,positive,explicit
"على خشبة المسرح عرض فريق من طلاب ES 2 SC بحثا عن المسرح ،ولقد شاركوا زملاءهم تمثيل مشاهد معبرة . https://t.co/mcrHI1kPRs",neutral,none
@sabyaedu حفل توديع نهايه وحدة المسكن بفصل المبدعون في الروضه الرابعه بصبيا تحت رعاية رائدة الفصل الاستاذه / شذا ا… https://t.co/gelKbE2v5q,neutral,none
لهجتها في الكلام عسوله اي نعم ما فهمت ولا كلمه بس اللهجه مثل المسلسلات الخليجيه احب اتفرج عليها بس ما افهم شيء بس ع… https://t.co/btUHXijC8p,positive,explicit
حدث في مثل هذا اليوم قبل سنة. تحرير مركز ناحية #بعشيقة من ايدي ارهابي #داعش تحية للدماء الزكية التي ساهمت بتحريرها وتحرير كل شبر من #العراق,positive,explicit
جعجع رفض دعوة بن سلمان والعذر الأعياد على لبواب وستريد حامل اذا بدكم. سامي الجميل ما عندو شي انا جربت السجن مرة على مين يا ابن. سلمان,negative,explicit
"منتخب فرنسا حالياً منتخب جبّار بكل خانة تحصلك نجم ، اتوقع يسوون شي بالمونديال القادم",very_positive,explicit
@saudimomra مع العلم اننا في الصيف نعاني العجاج والمبطبات وفِي الشتاء نعاني الوحل والغراز والطين . مع ان المطلب يسير… https://t.co/C3kGyvxojv,negative,explicit
نضغط الشاشه وحروفي تحاكيك. و الكل يقرأ .. ما كتبته .. و يفهم. :. إلا انت .. قلي يا غرورك ومعميك. خلك معه .. بكره تعلم .… https://t.co/6r0k8XxCha,negative,explicit
"عن الرضا ( عليه السلام ) قال : شيعتنا المسلمون لأمرنا ، الآخذون بقولنا ، المخالفون لأعدائنا ، فمن لم يكن كذلك فليس… https://t.co/LzATdVRMCC",neutral,none
إن لله وإن إليه راجعون. اللهم أجرنا في مصيبتنا واخلفنا خيراً منه. اللهم ابدلها داراً خيرًا من دارها. واهلاً خيرًا من اهلها,negative,explicit
"وصية أحدالسلف:. يابني""خف الله خوفا. لو ترى أنك أتيت بجميع حسنات أهل الأرض لم يقبلها منك. وارجه رجاءى. لو أنك أتيت بجميع ذنوب أهل الأرض لغفرها لك",neutral,none
"#جعجع: استغرب كيف ان #الحريري لم يستقل قبل هذا التاريخ،فما حصل في الاشهر الاخيرة لا يمكن لأحد ان يحترم نفسه أن يبقى في الحكومة",very_negative,explicit
"#الجميل: هدف الضرائب تمويل حملة السلطة الانتخابية،لا يريدون الإصلاح ولا وقف الفساد بل يريدون تمويل الفساد من جيوب اللبنانيين #ضرايب_بالقوة",negative,explicit
منتخب لبنان يسجل هدفه الأول في الدقيقة الواحدة والعشرين على منتخب كوريا الشمالية ببطولة كأس آسيا على ملعب بيروت البلدي,very_positive,explicit
#ليه_استقال_الحريري الزعطوط سعد الحريري قدم استقالته الى محمد بن سلمان معقول يا ناس ما بيعرف مين رئيس لبنان https://t.co/AAmSJ8jGmc,very_negative,explicit
هذا منتخب الاقليات الذي يعتبر ان الموت فقط هو ما يستحقه الاكثريه كيف كنت تؤيد هذا الفريق يا سني سوري شكرا استراليا https://t.co/FFV7eW7jhM,negative,explicit
"الشرطي الذي ألقى القبض على الأمير الوليد ... سأله انت الوليد بن طلال صاحب قنوات ""روتانا""؟؟؟. قاله : اه . قاله : *من ال… https://t.co/7UNjKzIDV8",neutral,none
بريطانيا أرادات أن تؤسس في فلسطين قاعدة للاستعمار الغربي ووجدت أن الصهيونية يمكن أن تحقق لها هذا الهدف الاستراتيجي.. #Balfour100,neutral,none
"غادر الأماكن التي تشعر فيها أنك أثقل من الهواء وأن من فيها على وشك الإختناق بك ، غادر واترك مسافه بينكما ترتاح فيها الذكريات الجميلة *",positive,explicit
حتى لو خسرنا. المهم إنكن رفعتوا راسنا قدام العالم كلّو و الكلّ عرف مين المنتخب السوري و مين نسور قاسيون. #نسور_قاسيون شكراً إلكن على هالفرحة❤,very_positive,explicit
الصحفية پولا أعلنت خبر انه تم قطع قناة المستقبل والMtv لأنهم يعرضون المقابلة مع سعد الحريري هذا تحريض على اهل الضاح… https://t.co/pl1NDD6qsw,negative,explicit
الرئيس القرغيزي المنتخب واثق من التسوية السريعة للمشاكل مع كازاخستان https://t.co/nLUCtgYoII. #قرغيزستان https://t.co/C42e4n2l6M,positive,explicit
خلصت منها من الوتس آب أجب على الفيس بوك ونتطلي على المسنجر بالآخر بتحكيلي أنا مزعجة صح لا والله بدك حرق عالم لزقة 😩😤,very_negative,explicit
قال عبد الرحمن بن مهدي :. لولا أني أكره أن يُعصى الله لتمنيت ألا يبقى في هذا العصر أحدٌ إلا وقع فيّ واغتابني فأي شيء… https://t.co/ITujpbJnrU,neutral,none
"@F1__ZZ @SECULARSH كن حذر بما تسمعه عن المرأة السعودية العظيمة ، فالإشاعات ألتي تأتي بهدف التسقيط والتجريح إما من… https://t.co/Yf2tv1xxYW",positive,explicit
الذي قلبه فعلاً على البلد كان عليه عدم اقحام نفسه بحروب المنطقة وعدم رمي لبنان خلافاً لمصالح شعبه في حضن التطبيع مع… https://t.co/PDAAhT2ZZ6,negative,explicit
يقول أبن القيم .. كلمة عجيبة . رضا الناس :. لا مقدور ..... لم تستطيعة . ولا مأمور ..... لم يأمرك الله. ولا مأثور ..... لم يرضوا عن أحد,neutral,none
إلى كل القوم الي بروحوا الساعة مليون ع البيت بسبب الشغل لا تناموا بكير ! لا تخلوا الدوام يقتل حياتكم اعملوا اللي بدكم ياه المهم تناموش !,positive,explicit
كالعادة نظمت رابطة #بلانكو_فلسطين تجمعات في كل من مدينة غزة ومدينة طولكرم لمتابعة ريال مدريد أمام جاره العنيد اتليت… https://t.co/4GP3QU8uu6,neutral,none
في حزة العصر جاني رساله رسالتً مؤلمه يا الله تعيني. شي يخص الهلال وباقي احواله . إصابة إد… https://t.co/xKokrpvihn,very_negative,explicit
"جعجع في معرض حديثه: أنا وقتها كنت ""بالإعتقال"".. لا يا برو انت كنت بالحبس من ورا الجرائم لعملتها مش بالإعتقال 🙂 انت… https://t.co/xGfu2y7xyN",negative,explicit
هدف لا نراه كل يوم . #LEITOT . @oki_q8e شوف ابن اختي شوف 🤗 https://t.co/ZmVMl4sOqA,positive,explicit
بأمكانكم التسجيل في قرعة الحصول على راية #الامام_الحسين المُعلقة الأن فوق قبة المرقد من خلال الرابط ادناه ومن اي بل… https://t.co/Ll1yCvLc49,neutral,none
"استخدم صراعات وإحباطات اليوم لتحفيزك بدلًا من أن تُحزنك وتضجرك. لذا، تحكَّم في الطريقة التي تنظر بها إلى الحياة.😍😍… https://t.co/d1A6vLwGe7",very_positive,explicit
ولماذا لم ينتفض ويستقيل ويمتنع عن توقيع مرسوم تعيين سفير لبنان في دمشق .كان راضياً بإقتسام ما تبقّى من خيرات الدولة مع ج. باسيل. إلى أن 🤔...,negative,explicit
اللهم إن الطريق طويل وليس معي إلا نفسي فأرشدني بحكمتك لا بـ حكمتي ودلني على ما تشاء ان كان خيراً لي أنت صاحب الأمر… https://t.co/bRvn1GLkDW,positive,explicit
#عاجل | وسائل إعلام إسبانية: مذكرة اعتقال أوروبية بحق رئيس حكومة كتالونيا المقال و4 من مستشاريه. الأخبار العاجلة:… https://t.co/js1tAR0e7I,negative,explicit
مبروك اقرار الضريبة #رقم٥ رفع الرسوم على المشروبات الروحية المستوردة من ٦٠ ليرة إلى ٣٠٠ ومن ٢٠٠ إلى ١٠٠٠ ومن ٤٠٠ إلى ٢٠٠٠. #سلسلة_ضرائب,negative,explicit
"الايام مصيرها تبين لك مشاعر كل شخص تجاهك وتبين لك كل شي ، مو كل قريب منك يحبك ، ومو كل كلمه لطيفه من قلب صادقه",neutral,none
@AzadCemkari اذا انتة مامهزوم اطلع من امام مجلس النواب الكردي في اربيل وصرح ومول ها انا من امام مجلس النواب في اربي… https://t.co/CWEh8zZFEP,negative,explicit
@saadhariri الله يرحم الوالد الشيخ رفيق الحريري ساير على خطاه يوم بعد يوم عم بتثبت إنو يللي خلٌف ما مات الله يخليك… https://t.co/H3NHbEbuT2,positive,explicit
"#رجعت_الضرايب بكل دول العالم باستثناء لبنان مقابل كل ضريبة في خدمة،عنا مقابل كل ضريبة في ضربة بتضربنا بالقلب ،،، طيب ليش انا لبناني؟؟😟😟",very_negative,explicit
بعد غياب طال ثلاثة أو أربعة أيام وبعد الضغوطات الإعلامية ظهر الفتى المدلل اللبناني سعد الحريري مع الملك سلمان واللق… https://t.co/BGpyeh46TC,negative,explicit
#الخليوي_يستاهل فوق ماهو شايل الفريق هالموسم على ظهره تبرع للجمهور بـ١٠٠ تذكره على حسابه .. واتحدى اذا في لاعب اجنب… https://t.co/Ke41GlvB1O,very_positive,explicit
لا تحكم على حدا من طريقة حكيه ولا من من شو بكتب ولا من شغله .. لا تحكم عحدا اصلا خليك بحالك,negative,explicit
"قال الحسن البصري -رحمه الله- (والله ما المؤمن بالذي يعمل شهر أو شهرين أو عاماً أو عامين ، والله ما جعل الله لعمل المؤمن أجل دون الموت )",neutral,none
"هناك شر واحد ،وهو ادعاء المعرفة . وهذا مافعله الدين . حيث اقنع الجهلاء بان خطة الكون وصيرورته محتومه وهي بيد شيء نموت ولن نراه ويدعى الرب",negative,explicit
"فرق كبير بين صوت حلو مع أداء حلو، او خامة حلوة فقط... وأغلب الناس بتشجع وبتحكم حسب الخامة اللي هي من الله.. ف تجعوش ر… https://t.co/pw3hI9FV5N",neutral,none
@MBA_AlThani_ يجب تعزيز العلاقات مع قطر لأن نحن ألان في خندق واحد وعلى قطر دعم العراق أقتصادية من خلال ألاستثمارات في العراق واعلامياً ايضاً,positive,explicit
@barbie_aimy مريضين نفسياً و معقدين .. و انتي الأصل .. و لانك دائما توب بكل شي بحاولو الكل يقلدوكي و مستحيل يوصلولك ❤️👏🏻,positive,explicit
على الصعيد الوطني : . نسبة الإناث في الفترة العمرية ما بين 15-19 اللواتي تعرضنّ للعنف الجسدي أو النفسي من قبل الزوج… https://t.co/UpJrGZuHCJ,negative,explicit
حي ذا العين يابوعبدالله اسفرت وانورت رحمة الله علئ ملك القلوب الملك عبدالله بن عبدالعزيز واطال لنا في عمر ملك الحزم… https://t.co/ceD4j186UI,very_positive,explicit
نصر الله : الحريري تم استدعاؤه الى السعودية و الكل يعلم ذلك و الاستقالة كانت قرارا سعوديا مجبر عليه #السعودية #حزب_الله #لبنان #حسن_نصر_الله,negative,explicit
"هل أنت من عشاق #الرياضة، تحديداً #كرة_السلة؟ إذاً لا تضيّع بثنا المباشر غداً على الفيس بوك مع أحد عمالقة كرة السلة… https://t.co/W4JOHVy6YB",neutral,none
أنتبه لكلماتك وزلات لسانك. فما أقبح الكلمات التي تأكل من قلوب أخوانك وانت لا تدري .. الدين والأخلاق والأنسانية هي في مجملها هي سلوك محترم,neutral,none
إن قدرتنا على تحكيم أدوات البحث العلمي في مختلف التخصصات وبأي عدد يطلب من المحكمين لهو خير دليل على قوة منظومة العم… https://t.co/XH8R73qCTU,positive,explicit
اللهم أدخل. 🌹🌹🌹🌹🌹أمي🌹🌹🌹🌹🌹. 💓 الفردوس الأعلى 💓. بغير حساب ولا سابق عذاب . الله آميييين يا رب. الله يرحمه ويجعل مثواه الجنة,positive,explicit
لك منيح لي بل أصل وافق حزب الله يفوت ب حكومة فيها جماعة ١٤ آذار وما تفكرو حالكن انكن لبنان. حزب الله هوي لبنان شئتم او ابيتم #بموضوعية,negative,explicit
@iAbdullah_24 😂 😂 😂 😂 . والله اشي بقهر انو كل هل الانتقادات ع بنزيما وكل اشي . واخر اشي زيدان بحكي انو هو المهاجم الافضل ذ,negative,explicit
نبارك من القلب❤️ لمنتخب #المغرب 🇲🇦الشقيق التأهل لكأس العالم في #روسيا_2018 . عشت في الاوطان &amp; للعلى عنوان. ملء كل جنا… https://t.co/d05NSSo1DZ,very_positive,explicit
ربي إذا جآءت سكرة الموت. فأجعلني على أحب الاحُوال إليك. وفي أحب الاوقات إليك. وأجعل قبري روضة من رياض الجنه. واغفرلي وأرحمني يالله🌟.,neutral,none
"في مقطع من آخر فيلم لتوباك لما امه تقله ""راح يحاولوا يوقعوك زي ما عملوا مع كذا قائد أسود"" ورد عليها ""أنا مش قائد ول… https://t.co/km2RRACpGI",neutral,none
"خطب رسول الله ﷺ عندما جاء فقراء من مضر ، فقام وخطب بالناس فقال :""يا أيها الذين آمنوا اتقوا الله ولتنظر نفس ما قدمت لغد "" ثم حضهم على الصدقة",positive,explicit
"الوطن الوحيد في العالم ماضيه احسن وارقى من حاضره هو العراق ،، مملكة العراق في اربعينيات وخمسينيات القرن الماضي كانت… https://t.co/LgGw2sDwPb",negative,explicit
"خليكم مع بعض عالحلوة والمرة، القتال الداخلي انتحار. بدنا حكمة من الجميع. ربينا وكبرنا بالحرب، يكفي عدو واحد هو الصهاينة لا اعداء غيرهم",negative,explicit
#استقالة_الحريري_المشرفه. ميشال سليمان غرد : دخلنا في نفق . عزيزي .....إنو لح تفرقو مع يلي قاعد عالخازوق (عفوا ) إذا قعد عليه بنفق او بحديقة,very_negative,explicit
@DRSAMIRGEAGEA معلومات عن تراجع #حزب_الله عن سلوكياته واعلانه الانسحاب من كل أزمات المنطقة التي يشارك فيها بعد سماعه بكلام جعجع ... 🙆‍♂️,neutral,none
3 جرحى في غارة لطيران العدوان السعودي الأمريكي استهدفت الطريق العام في منطقة مران بمديرية حيدان (وسائل اعلام يمنية),negative,explicit
#هوا_الحرية للاسف البرنامج عم بينعرض ب وقت الي كل الأولاد الي توجهتلن الرسالة صار عندن نص ليل . بكرا مدارس @joemaaelouftv,negative,explicit
"#بدنا_نحاسب: هناك ضغوط سياسية مورست في تعيين المدعين العامين، ما السبب؟ هل لاستثمار النيابات العامة للضغط على الناس حسب ميولهم السياسية؟",negative,explicit
#الوطنية 🌴💚🌴. عندما يعشق قلبك النابض لحب وطنك. ينمو هذا الحب الخالص تعشقه روحـك . مع نظرك لرباه وتفيض علاقة قوية منك ت… https://t.co/9O3OdF76xq,positive,explicit
@sShahad1995 بس اذا القطاع الخاص في السعودية استعباد للبشر او استغلال ساعات الدوام .. يتحمل المخالفات الي فرضها القانون على قطاع خاص,negative,explicit
